file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\routes\+page.svelte,16,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,4
src\routes\+page.svelte,17,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,76
src\routes\+page.svelte,18,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,34
src\routes\+page.svelte,19,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,14
src\routes\+page.svelte,20,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,11
src\routes\+page.svelte,21,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,0
src\routes\+page.svelte,22,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,15
src\routes\+page.svelte,23,js,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,2
src\routes\+page.svelte,24,js,f5d6575e,Jhonny,2025-03-27,12:19:59,-03:00,2025-03-27T12:19:59-03:00,0,0
src\routes\+page.svelte,25,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,8
src\routes\+page.svelte,26,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,24
src\routes\+page.svelte,27,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,0
src\routes\+page.svelte,28,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,16
src\routes\+page.svelte,29,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,0
src\routes\+page.svelte,30,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,23
src\routes\+page.svelte,31,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,21
src\routes\+page.svelte,32,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,32
src\routes\+page.svelte,33,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,30
src\routes\+page.svelte,34,svelte,56fbd951,Jhonny,2025-04-08,12:41:52,-03:00,2025-04-08T12:41:52-03:00,0,6
